Raw_API,Full_API,Description
tf.config.experimental_connect_to_cluster,"tf.config.experimental_connect_to_cluster(
    cluster_spec_or_resolver,
    job_name='localhost',
    task_index=0,
    protocol=None,
    make_master_device_default=True,
    cluster_device_filters=None
)
",Connects to the given cluster.View aliases
tf.config.experimental_connect_to_host,"tf.config.experimental_connect_to_host(
    remote_host=None, job_name='worker'
)
",Connects to a single machine to enable remote execution on it.View aliases
tf.config.experimental_run_functions_eagerly,"tf.config.experimental_run_functions_eagerly(
    run_eagerly
)
",Enables / disables eager execution of tf.functions. (deprecated)View aliases
tf.config.get_logical_device_configuration,"tf.config.get_logical_device_configuration(
    device
)
",Get the virtual device configuration for a tf.config.PhysicalDevice.View aliases
tf.config.get_visible_devices,"tf.config.get_visible_devices(
    device_type=None
)
",Get the list of visible physical devices.View aliases
tf.config.list_logical_devices,"tf.config.list_logical_devices(
    device_type=None
)
",Return a list of logical devices created by runtime.View aliases
tf.config.list_physical_devices,"tf.config.list_physical_devices(
    device_type=None
)
",Return a list of physical devices visible to the host runtime.View aliases
tf.config.optimizer.get_jit,"tf.config.optimizer.get_jit() -> str
",Returns JIT compilation configuration for code inside tf.function.View aliases
tf.config.optimizer.set_experimental_options,"tf.config.optimizer.set_experimental_options(
    options
)
",Set experimental optimizer options.View aliases
tf.config.optimizer.set_jit,"tf.config.optimizer.set_jit(
    enabled: Union[bool, str]
)
",Configure JIT compilation. (deprecated argument values)View aliases
tf.config.run_functions_eagerly,"tf.config.run_functions_eagerly(
    run_eagerly
)
",Enables / disables eager execution of tf.functions.View aliases
tf.config.set_logical_device_configuration,"tf.config.set_logical_device_configuration(
    device, logical_devices
)
",Set the logical device configuration for a tf.config.PhysicalDevice.View aliases
tf.config.set_soft_device_placement,"tf.config.set_soft_device_placement(
    enabled
)
",Enable or disable soft device placement.View aliases
tf.config.set_visible_devices,"tf.config.set_visible_devices(
    devices, device_type=None
)
",Set the list of visible devices.View aliases
tf.config.threading.set_inter_op_parallelism_threads,"tf.config.threading.set_inter_op_parallelism_threads(
    num_threads
)
",Set number of threads used for parallelism between independent operations.View aliases
tf.config.threading.set_intra_op_parallelism_threads,"tf.config.threading.set_intra_op_parallelism_threads(
    num_threads
)
",Set number of threads used within an individual op for parallelism.View aliases
tf.compat.v1.confusion_matrix,"tf.compat.v1.confusion_matrix(
    labels,
    predictions,
    num_classes=None,
    dtype=tf.dtypes.int32,
    name=None,
    weights=None
)
",Computes the confusion matrix from predictions and labels.View aliases
tf.math.conj,"tf.math.conj(
    x, name=None
)
",Returns the complex conjugate of a complex number.View aliases
tf.compat.v1.constant,"tf.compat.v1.constant(
    value, dtype=None, shape=None, name='Const', verify_shape=False
)
",Creates a constant tensor.
tf.compat.v1.keras.initializers.Constant,"tf.compat.v1.keras.initializers.Constant(
    value=0,
    dtype=tf.dtypes.float32,
    verify_shape=False
)
",Initializer that generates tensors with constant values.View aliases
tf.compat.v1.container,"tf.compat.v1.container(
    container_name
)
",Wrapper for Graph.container() using the default graph.
tf.control_dependencies,"tf.control_dependencies(
    control_inputs
)
",Wrapper for Graph.control_dependencies() using the default graph.View aliases
tf.compat.v1.convert_to_tensor,"tf.compat.v1.convert_to_tensor(
    value, dtype=None, name=None, preferred_dtype=None, dtype_hint=None
)
",Converts the given value to a Tensor.
tf.compat.v1.convert_to_tensor_or_indexed_slices,"tf.compat.v1.convert_to_tensor_or_indexed_slices(
    value, dtype=None, name=None
)
",Converts the given object to a Tensor or an IndexedSlices.
tf.compat.v1.convert_to_tensor_or_sparse_tensor,"tf.compat.v1.convert_to_tensor_or_sparse_tensor(
    value, dtype=None, name=None
)
",Converts value to a SparseTensor or Tensor.
tf.math.cos,"tf.math.cos(
    x, name=None
)
",Computes cos of x element-wise.View aliases
tf.math.cosh,"tf.math.cosh(
    x, name=None
)
",Computes hyperbolic cosine of x element-wise.View aliases
tf.compat.v1.count_nonzero,"tf.compat.v1.count_nonzero(
    input_tensor=None,
    axis=None,
    keepdims=None,
    dtype=tf.dtypes.int64,
    name=None,
    reduction_indices=None,
    keep_dims=None,
    input=None
)
",Computes number of nonzero elements across dimensions of a tensor. (deprecated arguments) (deprecated arguments)View aliases
tf.compat.v1.count_up_to,"tf.compat.v1.count_up_to(
    ref, limit, name=None
)
",Increments 'ref' until it reaches 'limit'. (deprecated)
tf.compat.v1.create_partitioned_variables,"tf.compat.v1.create_partitioned_variables(
    shape,
    slicing,
    initializer,
    dtype=tf.dtypes.float32,
    trainable=True,
    collections=None,
    name=None,
    reuse=None
)
",Create a list of partitioned variables according to the given slicing. (deprecated)
tf.linalg.cross,"tf.linalg.cross(
    a, b, name=None
)
",Compute the pairwise cross product.View aliases
tf.math.cumprod,"tf.math.cumprod(
    x, axis=0, exclusive=False, reverse=False, name=None
)
",Compute the cumulative product of the tensor x along axis.View aliases
tf.math.cumsum,"tf.math.cumsum(
    x, axis=0, exclusive=False, reverse=False, name=None
)
",Compute the cumulative sum of the tensor x along axis.View aliases
tf.custom_gradient,"tf.custom_gradient(
    f=None
)
",Decorator to define a function with a custom gradient.View aliases
tf.data.DatasetSpec,"tf.data.DatasetSpec(
    element_spec, dataset_shape=()
)
","Type specification for tf.data.Dataset.Inherits From: TypeSpec, TraceTypeView aliases"
tf.compat.v1.data.FixedLengthRecordDataset,"tf.compat.v1.data.FixedLengthRecordDataset(
    filenames,
    record_bytes,
    header_bytes=None,
    footer_bytes=None,
    buffer_size=None,
    compression_type=None,
    num_parallel_reads=None,
    name=None
)
","A Dataset of fixed-length records from one or more binary files.Inherits From: Dataset, Dataset"
tf.compat.v1.data.Iterator,"tf.compat.v1.data.Iterator(
    iterator_resource, initializer, output_types, output_shapes, output_classes
)
",Represents the state of iterating through a Dataset.
tf.compat.v1.data.TFRecordDataset,"tf.compat.v1.data.TFRecordDataset(
    filenames,
    compression_type=None,
    buffer_size=None,
    num_parallel_reads=None,
    name=None
)
","A Dataset comprising records from one or more TFRecord files.Inherits From: Dataset, Dataset"
tf.compat.v1.data.TextLineDataset,"tf.compat.v1.data.TextLineDataset(
    filenames,
    compression_type=None,
    buffer_size=None,
    num_parallel_reads=None,
    name=None
)
","A Dataset comprising lines from one or more text files.Inherits From: Dataset, Dataset"
tf.data.experimental.CheckpointInputPipelineHook,"tf.data.experimental.CheckpointInputPipelineHook(
    estimator, external_state_policy=None
)
",Checkpoints input pipeline state every N steps or seconds.Inherits From: SessionRunHookView aliases
tf.compat.v1.data.experimental.Counter,"tf.compat.v1.data.experimental.Counter(
    start=0,
    step=1,
    dtype=tf.dtypes.int64
)
",Creates a Dataset that counts from start in steps of size step.
tf.compat.v1.data.experimental.CsvDataset,"tf.compat.v1.data.experimental.CsvDataset(
    filenames,
    record_defaults,
    compression_type=None,
    buffer_size=None,
    header=False,
    field_delim=',',
    use_quote_delim=True,
    na_value='',
    select_cols=None,
    exclude_cols=None
)
","A Dataset comprising lines from one or more CSV files.Inherits From: Dataset, Dataset"
tf.data.experimental.DatasetInitializer,"tf.data.experimental.DatasetInitializer(
    dataset
)
",Creates a table initializer from a tf.data.Dataset.View aliases
tf.data.DatasetSpec,"tf.data.DatasetSpec(
    element_spec, dataset_shape=()
)
","Type specification for tf.data.Dataset.Inherits From: TypeSpec, TraceTypeView aliases"
tf.OptionalSpec,"tf.OptionalSpec(
    element_spec
)
","Type specification for tf.experimental.Optional.Inherits From: TypeSpec, TraceTypeView aliases"
tf.compat.v1.data.experimental.RaggedTensorStructure,"tf.compat.v1.data.experimental.RaggedTensorStructure(
    dtype, shape, ragged_rank
)
",DEPRECATED FUNCTION
tf.compat.v1.data.experimental.RandomDataset,"tf.compat.v1.data.experimental.RandomDataset(
    seed=None, name=None
)
","A Dataset of pseudorandom values. (deprecated)Inherits From: Dataset, Dataset"
tf.data.experimental.Reducer,"tf.data.experimental.Reducer(
    init_func, reduce_func, finalize_func
)
",A reducer is used for reducing a set of elements.View aliases
tf.compat.v1.data.experimental.SparseTensorStructure,"tf.compat.v1.data.experimental.SparseTensorStructure(
    dtype, shape
)
",DEPRECATED FUNCTION
tf.compat.v1.data.experimental.SqlDataset,"tf.compat.v1.data.experimental.SqlDataset(
    driver_name, data_source_name, query, output_types
)
","A Dataset consisting of the results from a SQL query.Inherits From: Dataset, Dataset"
tf.data.experimental.TFRecordWriter,"tf.data.experimental.TFRecordWriter(
    filename, compression_type=None
)
",Writes a dataset to a TFRecord file. (deprecated)View aliases
tf.compat.v1.data.experimental.TensorArrayStructure,"tf.compat.v1.data.experimental.TensorArrayStructure(
    dtype, element_shape, dynamic_size, infer_shape
)
",DEPRECATED FUNCTION
tf.compat.v1.data.experimental.TensorStructure,"tf.compat.v1.data.experimental.TensorStructure(
    dtype, shape
)
",DEPRECATED FUNCTION
tf.data.experimental.assert_cardinality,"tf.data.experimental.assert_cardinality(
    expected_cardinality
)
",Asserts the cardinality of the input dataset.View aliases
tf.data.experimental.bucket_by_sequence_length,"tf.data.experimental.bucket_by_sequence_length(
    element_length_func,
    bucket_boundaries,
    bucket_batch_sizes,
    padded_shapes=None,
    padding_values=None,
    pad_to_bucket_boundary=False,
    no_padding=False,
    drop_remainder=False
)
",A transformation that buckets elements in a Dataset by length. (deprecated)View aliases
tf.data.experimental.cardinality,"tf.data.experimental.cardinality(
    dataset
)
","Returns the cardinality of dataset, if known.View aliases"
tf.compat.v1.data.experimental.choose_from_datasets,"tf.compat.v1.data.experimental.choose_from_datasets(
    datasets, choice_dataset, stop_on_empty_dataset=False
)
",Creates a dataset that deterministically chooses elements from datasets. (deprecated)
tf.data.experimental.copy_to_device,"tf.data.experimental.copy_to_device(
    target_device, source_device='/cpu:0'
)
",A transformation that copies dataset elements to the given target_device.View aliases
tf.data.experimental.dense_to_ragged_batch,"tf.data.experimental.dense_to_ragged_batch(
    batch_size,
    drop_remainder=False,
    row_splits_dtype=tf.dtypes.int64
)
",A transformation that batches ragged elements into tf.RaggedTensors.View aliases
tf.data.experimental.dense_to_sparse_batch,"tf.data.experimental.dense_to_sparse_batch(
    batch_size, row_shape
)
",A transformation that batches ragged elements into tf.sparse.SparseTensors.View aliases
tf.data.experimental.enumerate_dataset,"tf.data.experimental.enumerate_dataset(
    start=0
)
",A transformation that enumerates the elements of a dataset. (deprecated)View aliases
tf.data.experimental.from_list,"tf.data.experimental.from_list(
    elements, name=None
)
",Creates a Dataset comprising the given list of elements.View aliases
tf.data.experimental.from_variant,"tf.data.experimental.from_variant(
    variant, structure
)
",Constructs a dataset from the given variant and (nested) structure.View aliases
tf.data.experimental.get_next_as_optional,"tf.data.experimental.get_next_as_optional(
    iterator
)
",Returns a tf.experimental.Optional with the next element of the iterator. (deprecated)View aliases
tf.data.experimental.get_single_element,"tf.data.experimental.get_single_element(
    dataset
)
",Returns the single element of the dataset as a nested structure of tensors. (deprecated)View aliases
tf.data.experimental.get_structure,"tf.data.experimental.get_structure(
    dataset_or_iterator
)
",Returns the type signature for elements of the input dataset / iterator.View aliases
tf.data.experimental.group_by_reducer,"tf.data.experimental.group_by_reducer(
    key_func, reducer
)
",A transformation that groups elements and performs a reduction.View aliases
tf.data.experimental.group_by_window,"tf.data.experimental.group_by_window(
    key_func, reduce_func, window_size=None, window_size_func=None
)
",A transformation that groups windows of elements by key and reduces them. (deprecated)View aliases
tf.data.experimental.ignore_errors,"tf.data.experimental.ignore_errors(
    log_warning=False
)
",Creates a Dataset from another Dataset and silently ignores any errors.View aliases
tf.data.experimental.index_table_from_dataset,"tf.data.experimental.index_table_from_dataset(
    dataset=None,
    num_oov_buckets=0,
    vocab_size=None,
    default_value=-1,
    hasher_spec=lookup_ops.FastHashSpec,
    key_dtype=tf.dtypes.string,
    name=None
)
",Returns an index lookup table based on the given dataset.View aliases
tf.compat.v1.data.experimental.make_batched_features_dataset,"tf.compat.v1.data.experimental.make_batched_features_dataset(
    file_pattern,
    batch_size,
    features,
    reader=None,
    label_key=None,
    reader_args=None,
    num_epochs=None,
    shuffle=True,
    shuffle_buffer_size=10000,
    shuffle_seed=None,
    prefetch_buffer_size=None,
    reader_num_threads=None,
    parser_num_threads=None,
    sloppy_ordering=False,
    drop_final_batch=False
)
",Returns a Dataset of feature dictionaries from Example protos.
tf.compat.v1.data.experimental.make_csv_dataset,"tf.compat.v1.data.experimental.make_csv_dataset(
    file_pattern,
    batch_size,
    column_names=None,
    column_defaults=None,
    label_name=None,
    select_columns=None,
    field_delim=',',
    use_quote_delim=True,
    na_value='',
    header=True,
    num_epochs=None,
    shuffle=True,
    shuffle_buffer_size=10000,
    shuffle_seed=None,
    prefetch_buffer_size=None,
    num_parallel_reads=None,
    sloppy=False,
    num_rows_for_inference=100,
    compression_type=None,
    ignore_errors=False
)
",Reads CSV files into a dataset.
tf.data.experimental.make_saveable_from_iterator,"tf.data.experimental.make_saveable_from_iterator(
    iterator, external_state_policy=None
)
",Returns a SaveableObject for saving/restoring iterator state using Saver. (deprecated)View aliases
tf.data.experimental.map_and_batch,"tf.data.experimental.map_and_batch(
    map_func,
    batch_size,
    num_parallel_batches=None,
    drop_remainder=False,
    num_parallel_calls=None
)
",Fused implementation of map and batch. (deprecated)View aliases
tf.compat.v1.data.experimental.map_and_batch_with_legacy_function,"tf.compat.v1.data.experimental.map_and_batch_with_legacy_function(
    map_func,
    batch_size,
    num_parallel_batches=None,
    drop_remainder=False,
    num_parallel_calls=None
)
",Fused implementation of map and batch. (deprecated)
tf.data.experimental.parallel_interleave,"tf.data.experimental.parallel_interleave(
    map_func,
    cycle_length,
    block_length=1,
    sloppy=False,
    buffer_output_elements=None,
    prefetch_input_elements=None
)
",A parallel version of the Dataset.interleave() transformation. (deprecated)View aliases
tf.data.experimental.parse_example_dataset,"tf.data.experimental.parse_example_dataset(
    features, num_parallel_calls=1, deterministic=None
)
",A transformation that parses Example protos into a dict of tensors.View aliases
tf.data.experimental.prefetch_to_device,"tf.data.experimental.prefetch_to_device(
    device, buffer_size=None
)
",A transformation that prefetches dataset values to the given device.View aliases
tf.data.experimental.rejection_resample,"tf.data.experimental.rejection_resample(
    class_func, target_dist, initial_dist=None, seed=None
)
",A transformation that resamples a dataset to achieve a target distribution. (deprecated)View aliases
tf.compat.v1.data.experimental.sample_from_datasets,"tf.compat.v1.data.experimental.sample_from_datasets(
    datasets, weights=None, seed=None, stop_on_empty_dataset=False
)
",Samples elements at random from the datasets in datasets. (deprecated)
tf.data.experimental.scan,"tf.data.experimental.scan(
    initial_state, scan_func
)
",A transformation that scans a function across an input dataset. (deprecated)View aliases
tf.data.experimental.service.CrossTrainerCache,"tf.data.experimental.service.CrossTrainerCache(
    trainer_id
)
",Options related to the tf.data service cross trainer cache.View aliases
tf.data.experimental.service.DispatcherConfig,"tf.data.experimental.service.DispatcherConfig(
    port=0,
    protocol=None,
    work_dir=None,
    fault_tolerant_mode=False,
    worker_addresses=None,
    job_gc_check_interval_ms=None,
    job_gc_timeout_ms=None
)
",Configuration class for tf.data service dispatchers.View aliases
tf.data.experimental.service.WorkerConfig,"tf.data.experimental.service.WorkerConfig(
    dispatcher_address,
    worker_address=None,
    port=0,
    protocol=None,
    heartbeat_interval_ms=None,
    dispatcher_timeout_ms=None
)
",Configuration class for tf.data service dispatchers.View aliases
tf.data.experimental.service.distribute,"tf.data.experimental.service.distribute(
    processing_mode,
    service,
    job_name=None,
    consumer_index=None,
    num_consumers=None,
    max_outstanding_requests=None,
    data_transfer_protocol=None,
    compression='AUTO',
    cross_trainer_cache=None,
    target_workers='AUTO'
)
",A transformation that moves dataset processing to the tf.data service.View aliases
tf.data.experimental.service.from_dataset_id,"tf.data.experimental.service.from_dataset_id(
    processing_mode,
    service,
    dataset_id,
    element_spec=None,
    job_name=None,
    consumer_index=None,
    num_consumers=None,
    max_outstanding_requests=None,
    data_transfer_protocol=None,
    cross_trainer_cache=None,
    target_workers='AUTO'
)
",Creates a dataset which reads data from the tf.data service.View aliases
tf.data.experimental.service.register_dataset,"tf.data.experimental.service.register_dataset(
    service, dataset, compression='AUTO', dataset_id=None
)
",Registers a dataset with the tf.data service.View aliases
tf.data.experimental.shuffle_and_repeat,"tf.data.experimental.shuffle_and_repeat(
    buffer_size, count=None, seed=None
)
","Shuffles and repeats a Dataset, reshuffling with each repetition. (deprecated)View aliases"
tf.data.experimental.snapshot,"tf.data.experimental.snapshot(
    path, compression='AUTO', reader_func=None, shard_func=None
)
",API to persist the output of the input dataset. (deprecated)View aliases
tf.data.experimental.table_from_dataset,"tf.data.experimental.table_from_dataset(
    dataset=None,
    num_oov_buckets=0,
    vocab_size=None,
    default_value=None,
    hasher_spec=lookup_ops.FastHashSpec,
    key_dtype=tf.dtypes.string,
    name=None
)
",Returns a lookup table based on the given dataset.View aliases
tf.data.experimental.take_while,"tf.data.experimental.take_while(
    predicate
)
",A transformation that stops dataset iteration based on a predicate. (deprecated)View aliases
tf.data.experimental.to_variant,"tf.data.experimental.to_variant(
    dataset
)
",Returns a variant representing the given dataset.View aliases
tf.compat.v1.data.get_output_classes,"tf.compat.v1.data.get_output_classes(
    dataset_or_iterator
)
",Returns the output classes for elements of the input dataset / iterator.
tf.compat.v1.data.get_output_shapes,"tf.compat.v1.data.get_output_shapes(
    dataset_or_iterator
)
",Returns the output shapes for elements of the input dataset / iterator.
tf.compat.v1.data.get_output_types,"tf.compat.v1.data.get_output_types(
    dataset_or_iterator
)
",Returns the output shapes for elements of the input dataset / iterator.
tf.compat.v1.data.make_initializable_iterator,"tf.compat.v1.data.make_initializable_iterator(
    dataset, shared_name=None
)
",Creates an iterator for elements of dataset.
tf.compat.v1.data.make_one_shot_iterator,"tf.compat.v1.data.make_one_shot_iterator(
    dataset
)
",Creates an iterator for elements of dataset.
tf.debugging.Assert,"tf.debugging.Assert(
    condition, data, summarize=None, name=None
)
",Asserts that the given condition is true.View aliases
tf.compat.v1.verify_tensor_all_finite,"tf.compat.v1.verify_tensor_all_finite(
    t=None, msg=None, name=None, x=None, message=None
)
",Assert that the tensor does not contain any NaN's or Inf's.View aliases
tf.compat.v1.assert_equal,"tf.compat.v1.assert_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
",Assert the condition x == y holds element-wise.View aliases
tf.compat.v1.assert_greater,"tf.compat.v1.assert_greater(
    x, y, data=None, summarize=None, message=None, name=None
)
",Assert the condition x > y holds element-wise.View aliases
tf.compat.v1.assert_greater_equal,"tf.compat.v1.assert_greater_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
",Assert the condition x >= y holds element-wise.View aliases
tf.compat.v1.assert_integer,"tf.compat.v1.assert_integer(
    x, message=None, name=None
)
",Assert that x is of integer dtype.View aliases
tf.compat.v1.assert_less,"tf.compat.v1.assert_less(
    x, y, data=None, summarize=None, message=None, name=None
)
",Assert the condition x < y holds element-wise.View aliases
tf.compat.v1.assert_less_equal,"tf.compat.v1.assert_less_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
",Assert the condition x <= y holds element-wise.View aliases
tf.compat.v1.assert_near,"tf.compat.v1.assert_near(
    x,
    y,
    rtol=None,
    atol=None,
    data=None,
    summarize=None,
    message=None,
    name=None
)
",Assert the condition x and y are close element-wise.View aliases
tf.compat.v1.assert_negative,"tf.compat.v1.assert_negative(
    x, data=None, summarize=None, message=None, name=None
)
",Assert the condition x < 0 holds element-wise.View aliases
tf.compat.v1.assert_non_negative,"tf.compat.v1.assert_non_negative(
    x, data=None, summarize=None, message=None, name=None
)
",Assert the condition x >= 0 holds element-wise.View aliases
tf.compat.v1.assert_non_positive,"tf.compat.v1.assert_non_positive(
    x, data=None, summarize=None, message=None, name=None
)
",Assert the condition x <= 0 holds element-wise.View aliases
tf.compat.v1.assert_none_equal,"tf.compat.v1.assert_none_equal(
    x, y, data=None, summarize=None, message=None, name=None
)
",Assert the condition x != y holds element-wise.View aliases
tf.compat.v1.assert_positive,"tf.compat.v1.assert_positive(
    x, data=None, summarize=None, message=None, name=None
)
",Assert the condition x > 0 holds element-wise.View aliases
tf.debugging.assert_proper_iterable,"tf.debugging.assert_proper_iterable(
    values
)
","Static assert that values is a ""proper"" iterable.View aliases"
tf.compat.v1.assert_rank,"tf.compat.v1.assert_rank(
    x, rank, data=None, summarize=None, message=None, name=None
)
",Assert x has rank equal to rank.View aliases
tf.compat.v1.assert_rank_at_least,"tf.compat.v1.assert_rank_at_least(
    x, rank, data=None, summarize=None, message=None, name=None
)
",Assert x has rank equal to rank or higher.View aliases
tf.compat.v1.assert_rank_in,"tf.compat.v1.assert_rank_in(
    x, ranks, data=None, summarize=None, message=None, name=None
)
",Assert x has rank in ranks.View aliases
tf.debugging.assert_same_float_dtype,"tf.debugging.assert_same_float_dtype(
    tensors=None, dtype=None
)
",Validate and return float type based on tensors and dtype.View aliases
tf.compat.v1.assert_scalar,"tf.compat.v1.assert_scalar(
    tensor, name=None, message=None
)
",Asserts that the given tensor is a scalar (i.e. zero-dimensional).View aliases
tf.compat.v1.debugging.assert_shapes,"tf.compat.v1.debugging.assert_shapes(
    shapes, data=None, summarize=None, message=None, name=None
)
",Assert tensor shapes and dimension size relationships between tensors.
tf.debugging.assert_shapes,tf.debugging.assert_shapes([,"Assert tensor shapes and dimension size relationships between tensors.tf.compat.v1.debugging.assert_shapes(    shapes, data=None, summarize=None, message=None, name=None)This Op checks that a collection of tensors shape relationshipssatisfies given constraints.Example:n = 10q = 3d = 7x = tf.zeros([n,q])y = tf.ones([n,d])param = tf.Variable([1.0, 2.0, 3.0])scalar = 1.0tf.debugging.assert_shapes([ (x, ('N', 'Q')), (y, ('N', 'D')), (param, ('Q',)), (scalar, ()),])"
tf.compat.v1.assert_type,"tf.compat.v1.assert_type(
    tensor, tf_type, message=None, name=None
)
",Statically asserts that the given Tensor is of the specified type.View aliases
tf.debugging.check_numerics,"tf.debugging.check_numerics(
    tensor, message, name=None
)
",Checks a tensor for NaN and Inf values.View aliases
tf.debugging.enable_check_numerics,"tf.debugging.enable_check_numerics(
    stack_height_limit=30, path_length_limit=50
)
",Enable tensor numerics checking in an eager/graph unified fashion.View aliases
tf.debugging.experimental.enable_dump_debug_info,"tf.debugging.experimental.enable_dump_debug_info(
    dump_root,
    tensor_debug_mode=DEFAULT_TENSOR_DEBUG_MODE,
    circular_buffer_size=1000,
    op_regex=None,
    tensor_dtypes=None
)
",Enable dumping debugging information from a TensorFlow program.View aliases
tf.math.is_finite,"tf.math.is_finite(
    x, name=None
)
",Returns which elements of x are finite.View aliases
tf.math.is_inf,"tf.math.is_inf(
    x, name=None
)
",Returns which elements of x are Inf.View aliases
tf.math.is_nan,"tf.math.is_nan(
    x, name=None
)
",Returns which elements of x are NaN.View aliases
tf.math.is_non_decreasing,"tf.math.is_non_decreasing(
    x, name=None
)
",Returns True if x is non-decreasing.View aliases
tf.debugging.is_numeric_tensor,"tf.debugging.is_numeric_tensor(
    tensor
)
",Returns True if the elements of tensor are numbers.View aliases
tf.math.is_strictly_increasing,"tf.math.is_strictly_increasing(
    x, name=None
)
",Returns True if x is strictly increasing.View aliases
tf.debugging.set_log_device_placement,"tf.debugging.set_log_device_placement(
    enabled
)
",Turns logging for device placement decisions on or off.View aliases
tf.io.decode_base64,"tf.io.decode_base64(
    input, name=None
)
",Decode web-safe base64-encoded strings.View aliases
tf.io.decode_compressed,"tf.io.decode_compressed(
    bytes, compression_type='', name=None
)
",Decompress strings.View aliases
tf.compat.v1.decode_csv,"tf.compat.v1.decode_csv(
    records,
    record_defaults,
    field_delim=',',
    use_quote_delim=True,
    name=None,
    na_value='',
    select_cols=None
)
",Convert CSV records to tensors. Each column maps to one tensor.View aliases
tf.io.decode_json_example,"tf.io.decode_json_example(
    json_examples, name=None
)
",Convert JSON-encoded Example records to binary protocol buffer strings.View aliases
tf.io.decode_json_example,tf.io.decode_json_example([,"Convert JSON-encoded Example records to binary protocol buffer strings.View aliasestf.io.decode_json_example(    json_examples, name=None)Note: This is This op converts JSON-serialized tf.train.Example (maybe created withjson_format.MessageToJson, following thestandard JSON mapping)to a binary-serialized tf.train.Example (equivalent toExample.SerializeToString()) suitable for conversion to tensors withtf.io.parse_example.Here is a tf.train.Example proto:example = tf.train.Example(  features=tf.train.Features(      feature={          ""a"": tf.train.Feature(              int64_list=tf.train.Int64List(                  value=[1, 1, 3]))}))Here it is converted to JSON:from google.protobuf import json_formatexample_json = json_format.MessageToJson(example)print(example_json){  ""features"": {    ""feature"": {      ""a"": {        ""int64List"": {          ""value"": [            ""1"",            ""1"",            ""3""          ]        }      }    }  }}This op converts the above json string to a binary proto:example_binary = tf.io.decode_json_example(example_json)example_binary.numpy()b'\n\x0f\n\r\n\x01a\x12\x08\x1a\x06\x08\x01\x08\x01\x08\x03'The OP works on string tensors of andy shape:"
tf.io.parse_example,tf.io.parse_example(,"Convert JSON-encoded Example records to binary protocol buffer strings.View aliasestf.io.decode_json_example(    json_examples, name=None)Note: This is This op converts JSON-serialized tf.train.Example (maybe created withjson_format.MessageToJson, following thestandard JSON mapping)to a binary-serialized tf.train.Example (equivalent toExample.SerializeToString()) suitable for conversion to tensors withtf.io.parse_example.Here is a tf.train.Example proto:example = tf.train.Example(  features=tf.train.Features(      feature={          ""a"": tf.train.Feature(              int64_list=tf.train.Int64List(                  value=[1, 1, 3]))}))Here it is converted to JSON:from google.protobuf import json_formatexample_json = json_format.MessageToJson(example)print(example_json){  ""features"": {    ""feature"": {      ""a"": {        ""int64List"": {          ""value"": [            ""1"",            ""1"",            ""3""          ]        }      }    }  }}This op converts the above json string to a binary proto:example_binary = tf.io.decode_json_example(example_json)example_binary.numpy()b'\n\x0f\n\r\n\x01a\x12\x08\x1a\x06\x08\x01\x08\x01\x08\x03'The OP works on string tensors of andy shape:tf.io.decode_json_example([    [example_json, example_json],    [example_json, example_json]]).shape.as_list()[2, 2]This resulting binary-string is equivalent to Example.SerializeToString(),and can be converted to Tensors using tf.io.parse_example and relatedfunctions:"
tf.compat.v1.decode_raw,"tf.compat.v1.decode_raw(
    input_bytes=None, out_type=None, little_endian=True, name=None, bytes=None
)
",Convert raw byte strings into tensors. (deprecated arguments)View aliases
tf.compat.v1.delete_session_tensor,"tf.compat.v1.delete_session_tensor(
    handle, name=None
)
",Delete the tensor for the given tensor handle.
tf.compat.v1.depth_to_space,"tf.compat.v1.depth_to_space(
    input, block_size, name=None, data_format='NHWC'
)
",DepthToSpace for tensors of type T.View aliases
tf.quantization.dequantize,"tf.quantization.dequantize(
    input,
    min_range,
    max_range,
    mode='MIN_COMBINED',
    name=None,
    axis=None,
    narrow_range=False,
    dtype=tf.dtypes.float32
)
",Dequantize the 'input' tensor into a float or bfloat16 Tensor.View aliases
tf.io.deserialize_many_sparse,"tf.io.deserialize_many_sparse(
    serialized_sparse, dtype, rank=None, name=None
)
",Deserialize and concatenate SparseTensors from a serialized minibatch.View aliases
tf.compat.v1.device,"tf.compat.v1.device(
    device_name_or_function
)
",Wrapper for Graph.device() using the default graph.
tf.linalg.tensor_diag,"tf.linalg.tensor_diag(
    diagonal, name=None
)
",Returns a diagonal tensor with a given diagonal values.View aliases
tf.linalg.tensor_diag_part,"tf.linalg.tensor_diag_part(
    input, name=None
)
",Returns the diagonal part of the tensor.View aliases
tf.math.digamma,"tf.math.digamma(
    x, name=None
)
","Computes Psi, the derivative of Lgamma (the log of the absolute value ofView aliases"
tf.compat.dimension_at_index,"tf.compat.dimension_at_index(
    shape, index
)
",Compatibility utility required to allow for both V1 and V2 behavior in TF.View aliases
tf.compat.dimension_value,"tf.compat.dimension_value(
    dimension
)
",Compatibility utility required to allow for both V1 and V2 behavior in TF.View aliases
tf.distribute.HierarchicalCopyAllReduce,"tf.distribute.HierarchicalCopyAllReduce(
    num_packs=1
)
",Hierarchical copy all-reduce implementation of CrossDeviceOps.Inherits From: CrossDeviceOpsView aliases
